AIR INDIA LTD,AI,98
BIMAN BANGLADESH,BG,997
CATHAY PACIFIC AIRWAYS,CX,160
CHINA SOUTHERN AIRLINES,CZ,784
EMIRATES AIRLINE,EK,176
ETIHAD AIRWAYS,EY,607
KUWAIT AIRWAYS,KU,229
MALAYSIA AIRLINES,MH,232
CHINA EASTERN AIRLINES,MU,781
QATAR AIRWAYS,QR,157
SINGAPORE AIRLINES,SQ,618
SAUDI ARABIA AIRLINES,SV,65
THAI AIRWAYS,TG,217
TURKISH AIRLINES,TK,235
OMAN AIR,WY,910
JET AIRWAYS,9W,589
PAKISTAN AIRWAYS,PK,214
BANGKOK AIRWAYS,PG,829
UNITED AIRWAYS,4H,584
MIHIN LANKA AIRWAYS,MJ,817
REGENT AIRWAYS,RX,652
NOVO AIR,VQ,
US BANGLA AIRLINES,BS,779
MALINDO AIR,OD,816
FLY DUBAI,FZ,
AIR ARABIA,G9,514
AIR ASIA,AK,
TIGER AIRWAYS,TR,
GULF AIR,GF,72
AMERICAN AIRLINES INC.,AA,1
AIR CANADA,AC,14
ALITALIA-COMPAGNIA AEREA ITALIANA S.P.,AZ,55
AIR FRANCE,AF,57
AIR CALEDONIE INTERNATIONAL,SB,63
AIR NEW ZEALAND LTD.,NZ,86
AEROMEXICO,AM,139
"ALL NIPPON AIRWAYS CO., LTD.",NH,205
AIR TAHITI NUI,TN,244
AUSTRIAN AIRLINES AG,OS,257
AIR PACIFIC,FJ,260
AHK AIR HONG KONG LTD.,LD,288
AEROFLOT RUSSIAN AIRLINES,SU,555
AIR NIUGINI PTY LTD.,PX,656
"AIR NIPPON CO., LTD.",EL,768
ASIANA AIRLINES INC.,OZ,988
AIR CHINA LTD.,CA,999
BRITISH AIRWAYS P.L.C.,BA,125
"CONTINENTAL AIRLINES, INC.",CO,5
CARGOLUX AIRLINES INT’L S.A.,CV,172
CHINA AIRLINES LTD,CI,297
CHINA EASTERN AIRLINES,MU,781
"DELTA AIR LINES, INC.",DL,6
DALAVIA FAR EAST AIRWAYS,H8,560
EGYPTAIR,MS,77
EMIRATES SKY CARGO,EK,176
EVA AIRWAYS CORP.,BR,695
FEDEX,FX,23
FINNAIR O/Y,AY,105
GARUDA INDONESIA,GA,126
HONG KONG DRAGON AIRLINES LIMITED.,KA,43
IRAN-AIR,IR,96
JAPAN AIRLINES CO. LTD,JL,131
"JAPAN ASIA AIRWAYS CO., LTD.",EG,688
KLM ROYAL DUTCH AIRLINES,KL,74
"KOREAN AIR LINES CO.,LTD.",KE,180
LUFTHANSA CARGO AG.,LH,20
MALAYSIA AIRLINES SYSTEM BERHAD,MH,232
MIAT-MONGOLIAN AIRLINES,OM,289
"NORTHWEST AIRLINES, INC.",NW,12
NIPPON CARGO AIRLINES,KZ,933
"PHILIPPINE AIRLINES, INC.",PR,79
PAKISTAN INT’L AIRLINES,PK,214
POLAR AIR CARGO INC.,PO,403
ROYAL NEPAL AIRLINES CORP.,RA,285
SCANDINAVIAN AIRLINES SYSTEM(SAS),SK,117
SRILANKAN AIRLINES LTD.,UL,603
SWISS INT’L AIR LINES LTD.,LX,724
"SHANGHAI AIRLINES CO., LTD.",FM,774
"THAI AIRWAYS INT’L PUBLIC CO.,LTD.",TG,217
"UNITED AIRLINES, INC.",UA,16
UZBEKISTAN AIRWAYS,HY,250
UNITED PARCEL,5X,406
VIETNAM AIRLINES,VN,738
VIRGIN ATLANTIC,VS,932
